nombre,precio,descuento,imagen,link
Unidad Solida Kingston M.2 Nv2 Nvme Pcie 1tb Gen 4x4,214.250,214.250,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mercadolibre.com.co/unidad-solida-kingston-m2-nv2-nvme-pcie-1tb-gen-4x4/p/MCO19882453?pdp_filters=category:MCO1648#searchVariation=MCO19882453&position=12&search_layout=stack&type=product&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Cpu Torre+8ram+hd500,1.124.899,1.124.899,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-947691015-cpu-torre8ramhd500-_JM#position=46&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Todo En Uno Touch Jaltech Pos 15 Core I3 Ddriii 4gb,2.399.000,2.399.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1634116390-todo-en-uno-touch-jaltech-pos-15-core-i3-ddriii-4gb-_JM#position=47&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Computador Portatil Asus Ryzen 7 Ram 16gb Disco 1tera+512ssd,3.149.999,3.149.999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1316844423-computador-portatil-asus-ryzen-7-ram-16gb-disco-1tera512ssd-_JM#position=48&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Torre Gamer Amd Ryzen 5 5600g +16gb Ram +ssd 240 Radeon 7 Pc,1.900.000,1.900.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1311556705-torre-gamer-amd-ryzen-5-5600g-16gb-ram-ssd-240-radeon-7-pc-_JM#position=49&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Computador Portatil Hp 240 G8 1tb - 4gb - 14 Windows 10,1.500.000,1.500.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-932047175-computador-portatil-hp-240-g8-1tb-4gb-14-windows-10-_JM#position=50&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Pc Torre Gamer Core I7 4790 16gb Ram Tarjeta V. R5 340 2gb,1.649.000,1.649.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1011565135-pc-torre-gamer-core-i7-4790-16gb-ram-tarjeta-v-r5-340-2gb-_JM#position=51&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
"Todo En Uno Aio Lenovo 3 Athlon 3050u Ssd 256gb, 8gb Fhd",1.900.000,1.900.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-950444499-todo-en-uno-aio-lenovo-3-athlon-3050u-ssd-256gb-8gb-fhd-_JM#position=52&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Portátil Computador Dell Intel Core I3 Hdd 1tb Ram 20gb,1.879.900,1.879.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-904126812-portatil-computador-dell-intel-core-i3-hdd-1tb-ram-20gb-_JM#position=53&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Pc Torre Gamer Core I7 10700 16 Ram Tarjeta Video R5 340 2gb,2.749.000,2.749.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-868627381-pc-torre-gamer-core-i7-10700-16-ram-tarjeta-video-r5-340-2gb-_JM#position=54&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
